X Y Z VelX VelY VelZ M year r
-4.122254821868575725e+00 -3.536466344697397624e+00 8.450707833567691618e-02 4.815486829646166769e-03 -5.375714325257872905e-03 -6.740555932164936240e-05 2.074426366745008750e+02 2.703613231512749280e+03 5.432008879768600806e+00
-4.058356145023720885e+00 -3.606502578952556881e+00 8.360837649110328118e-02 4.914726459124984896e-03 -5.289062119720248228e-03 -6.944498197576244440e-05 2.085329555659651817e+02 2.703646181512749081e+03 5.429926869900064901e+00
-3.993214943709515907e+00 -3.675335681493660189e+00 8.268375082413260968e-02 5.012438811560182908e-03 -5.200690792250873412e-03 -7.146307297153620629e-05 2.096224237387766038e+02 2.703679131512748882e+03 5.427770680581097906e+00
-3.926855243170184195e+00 -3.742943261255644138e+00 8.173355222064573877e-02 5.108594122822667123e-03 -5.110627261612156816e-03 -7.345921757890406080e-05 2.107110119305072260e+02 2.703712081512748682e+03 5.425541146406578363e+00
-3.859301485637025575e+00 -3.809303454765075259e+00 8.075814067431354160e-02 5.203163103073145737e-03 -5.018898962028001468e-03 -7.543280775288133848e-05 2.117986912546396638e+02 2.703745031512748483e+03 5.423239128492349792e+00
-3.790578517061099273e+00 -3.874394934203241547e+00 7.975788507866081456e-02 5.296116945684103093e-03 -4.925533834827063549e-03 -7.738324231878222824e-05 2.128854332117151671e+02 2.703777981512748283e+03 5.420865513957810577e+00
-3.720711573683900930e+00 -3.938196915080288019e+00 7.873316301498498038e-02 5.387427336014644248e-03 -4.830560319931516411e-03 -7.930992715534403148e-05 2.139712097002028770e+02 2.703810931512748084e+03 5.418421215395825108e+00
-3.649726268459188017e+00 -4.000689163517164637e+00 7.768436053635283112e-02 5.477066460035319787e-03 -4.734007347194033218e-03 -8.121227537570118588e-05 2.150559930270850089e+02 2.703843881512747885e+03 5.415907170330437559e+00
-3.577648577339183067e+00 -4.061852003132920608e+00 7.661187194789985389e-02 5.565007012800587266e-03 -4.635904327585455877e-03 -8.308970750615708473e-05 2.161397559181513088e+02 2.703876831512747685e+03 5.413324340663079326e+00
-3.504504825438362836e+00 -4.121666321535150779e+00 7.551609958365906872e-02 5.651222206766196195e-03 -4.536281144235878096e-03 -8.494165166269805893e-05 2.172224715279984082e+02 2.703909781512747486e+03 5.410673712107782585e+00
-3.430321673088224887e+00 -4.180113576411936371e+00 7.439745358015022181e-02 5.735685779948869294e-03 -4.435168143332030889e-03 -8.676754372519367142e-05 2.183041134497287885e+02 2.703942731512747287e+03 5.407956293616044796e+00
-3.355126101796083393e+00 -4.237175801224245753e+00 7.325635164695716572e-02 5.818372003925989348e-03 -4.332596124873503221e-03 -8.856682750923372202e-05 2.193846557243456630e+02 2.703975681512747087e+03 5.405173116791942789e+00
-3.278945400121168863e+00 -4.292835610498134002e+00 7.209321883452486646e-02 5.899255691672751142e-03 -4.228596333290732950e-03 -9.033895493554786082e-05 2.204640728498388000e+02 2.704008631512746888e+03 5.402325235298091499e+00
-3.201807149481194603e+00 -4.347076204716517900e+00 7.090848729940903150e-02 5.978312205234311699e-03 -4.123200447927728371e-03 -9.208338619695472503e-05 2.215423397899574240e+02 2.704041581512746689e+03 5.399413724253082414e+00
-3.123739209902256952e+00 -4.399881374811017487e+00 6.970259606720684287e-02 6.055517463230818999e-03 -4.016440573392142388e-03 -9.379958992279368028e-05 2.226194319826692833e+02 2.704074531512746489e+03 5.396439679621017227e+00
-3.044769705725209441e+00 -4.451235506254485053e+00 6.847599079340303818e-02 6.130847948192768258e-03 -3.908349229775984028e-03 -9.548704334078433301e-05 2.236953253482992068e+02 2.704107481512746290e+03 5.393404217593721128e+00
